Index,X,Y,Z
451,1116,1315,-0.00522431218996644
452,1089,1307,-0.00844934768974781
453,1070,1299,-0.011104419827461243
454,1311,1325,0.15536466240882874
455,1091,1468,-0.03331878036260605
456,1050,1381,-0.057272642850875854
457,1051,1476,-0.0714416652917862
458,1035,1489,-0.06400745362043381
459,1051,1478,-0.0637231171131134
460,1085,1474,-0.02727695368230343
461,1029,1493,-0.06776481866836548
462,1026,1495,-0.049097754061222076
463,1068,1279,-0.007433924358338118
464,1056,1286,-0.01622752472758293
465,1049,1292,-0.026553217321634293
466,1202,1255,0.00450173020362854
467,1222,1243,0.005145105998963118
468,839,1251,-0.014276017434895039
469,872,1252,-0.014276017434895039
470,841,1221,-0.014276017434895039
471,806,1249,-0.014276017434895039
472,837,1280,-0.014276017434895039
473,1150,1258,-0.003426629351451993
474,1181,1258,-0.003426629351451993
475,1149,1228,-0.003426629351451993
476,1118,1258,-0.003426629351451993
477,1151,1288,-0.003426629351451993
